"report_start_date","start_date","end_date","network_country_iso3","location","granularity","country_name","country_iso3","name","category","canonical_network_id","network_name_mapped","network_category","metric","uci","lci","passed","devices","readings"
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","UZB","Uzbekistan","countries","Uzbekistan","UZB","onxcoveragesim_overall_v1_0",,4342,"UzMobile",,6.737875106497112,6.762471995203685,6.712647123789088,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","UZB","Uzbekistan","countries","Uzbekistan","UZB","onxcoveragesim_overall_v1_0",,4343,"Beeline",,5.164873307879208,5.18679593575463,5.142319586002335,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","AGO","Angola","countries","Angola","AGO","onxcoveragesim_overall_v1_0",,6311,"Movicel",,2.3121468926553677,2.342514124293785,2.2796610169491522,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","AGO","Angola","countries","Angola","AGO","onxcoveragesim_overall_v1_0",,6310,"Unitel",,8.844632768361581,8.890501412429378,8.79590395480226,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","AGO","Angola","countries","Angola","AGO","onxcoveragesim_overall_v1_0",,6312,"Africell",,2.166666666666667,2.194173728813559,2.1377118644067794,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BEN","Benin","countries","Benin","BEN","onxcoveragesim_overall_v1_0",,6161,"Moov",,5.961043418568733,6.023682855671873,5.9036382357988675,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BEN","Benin","countries","Benin","BEN","onxcoveragesim_overall_v1_0",,6162,"MTN",,8.020422172644585,8.078771237343402,7.9621160116698135,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","GIN","Guinea","countries","Guinea","GIN","onxcoveragesim_overall_v1_0",,6111,"Sotelgui",,0.002175805047867711,0.003263707571801567,0.001450536698578474,"false",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","GIN","Guinea","countries","Guinea","GIN","onxcoveragesim_overall_v1_0",,6114,"Cellcom",,0.3727879315346679,0.3829416884247171,0.3619089062953293,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","GIN","Guinea","countries","Guinea","GIN","onxcoveragesim_overall_v1_0",,6113,"MTN",,2.158761241659414,2.1819698288366696,2.1366405570060922,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","GIN","Guinea","countries","Guinea","GIN","onxcoveragesim_overall_v1_0",,6110,"Orange",,9.312082970699159,9.345427183057732,9.279083260806498,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BHS","Bahamas","countries","Bahamas","BHS","onxcoveragesim_overall_v1_0",,3640,"BTC",,9.034690799396682,9.170437405731523,8.891402714932125,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BHS","Bahamas","countries","Bahamas","BHS","onxcoveragesim_overall_v1_0",,3641,"Aliv",,7.850678733031674,7.986425339366517,7.715309200603319,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","BRB","Barbados","countries","Barbados","BRB","onxcoveragesim_overall_v1_0",,3420,"FLOW",,9.971223021582734,10.0,9.942446043165466,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","CPV","Cape Verde","countries","Cape Verde","CPV","onxcoveragesim_overall_v1_0",,6250,"CVMOVEL",,9.022332506203474,9.136476426799007,8.90818858560794,"true",,
"2024-10-03 00:00:00.000","2024-10-03 00:00:00.000","2025-01-01 00:00:00.000","CPV","Cape Verde","countries","Cape Verde","CPV","onxcoveragesim_overall_v1_0",,6251,"T+",,5.285359801488833,5.409429280397022,5.156575682382134,"true",,
